Date,week_num,A,B,C,D
24/03/2009,221,0,0,0,0
31/03/2009,222,0,0,0,0
07/04/2009,223,0,0,0,0
14/04/2009,224,0,0,0,0
21/04/2009,225,0,0,0,0
28/04/2009,226,0,0,0,0
05/05/2009,227,0,0,0,0
12/05/2009,228,0,0,0,0
19/05/2009,229,0,0,0,0
26/05/2009,230,0,0,0,0
02/06/2009,231,0,0,0,0
09/06/2009,232,0,0,0,0
16/06/2009,233,0,0,0,0
23/06/2009,234,0,0,0,0
30/06/2009,235,0,0,0,0
07/07/2009,236,0,0,0,0
14/07/2009,237,0,0,0,0
21/07/2009,238,0,0,0,0
28/07/2009,239,0,0,0,0
04/08/2009,240,0,0,0,0
11/08/2009,241,0,0,0,0
18/08/2009,242,0,0,0,0
25/08/2009,243,0,0,0,0
01/09/2009,244,0,0,0,0
08/09/2009,245,0,0,0,0
15/09/2009,246,0,0,0,0
22/09/2009,247,0,0,0,0
29/09/2009,248,0,0,0,0
06/10/2009,249,0,0,0,0
13/10/2009,250,0,0,0,0
20/10/2009,251,0,0,0,0
27/10/2009,252,0,0,0,0
03/11/2009,253,0,0,0,0
10/11/2009,254,0,0,0,0
17/11/2009,255,0,0,0,0
24/11/2009,256,0,0,0,0
01/12/2009,257,0,0,0,0
08/12/2009,258,0,0,0,0
15/12/2009,259,0,0,0,0
22/12/2009,260,0,0,0,0
29/12/2009,261,0,0,0,0
05/01/2010,262,0,0,0,0
12/01/2010,263,0,0,0,0
19/01/2010,264,0,0,0,0
26/01/2010,265,0,0,0,0
02/02/2010,266,0,0,0,0
09/02/2010,267,0,0,0,0
16/02/2010,268,0,0,0,0
23/02/2010,269,0,0,0,0
02/03/2010,270,0,0,0,0
09/03/2010,271,0,0,0,0
16/03/2010,272,0,0,0,0
23/03/2010,273,0,0,0,0
30/03/2010,274,0,0,0,0
06/04/2010,275,0,0,0,0
13/04/2010,276,0,0,0,0
20/04/2010,277,0,0,0,0
27/04/2010,278,0,0,0,0
04/05/2010,279,0,0,0,0
11/05/2010,280,0,0,0,0
18/05/2010,281,0,0,0,0
25/05/2010,282,0,0,0,0
01/06/2010,283,0,0,0,0
08/06/2010,284,0,0,0,0
15/06/2010,285,0,0,0,0
22/06/2010,286,0,0,0,0
29/06/2010,287,0,0,0,0
06/07/2010,288,0,0,0,0
13/07/2010,289,0,0,0,0
20/07/2010,290,0,0,0,0
27/07/2010,291,0,0,0,0
03/08/2010,292,0,0,0,0
10/08/2010,293,0,0,0,0
17/08/2010,294,0,0,0,0
24/08/2010,295,0,0,0,0
31/08/2010,296,0,0,0,0
07/09/2010,297,0,0,0,0
14/09/2010,298,0,0,0,0
21/09/2010,299,0,0,0,0
28/09/2010,300,0,0,0,0
05/10/2010,301,0,0,0,0
12/10/2010,302,0,0,0,0
19/10/2010,303,0,0,0,0
26/10/2010,304,0,0,0,0
02/11/2010,305,0,0,0,0
09/11/2010,306,0,0,0,0
16/11/2010,307,0,0,0,0
23/11/2010,308,0,0,0,0
30/11/2010,309,0,0,0,0
07/12/2010,310,0,0,0,0
14/12/2010,311,0,0,0,0
21/12/2010,312,0,0,0,0
28/12/2010,313,0,0,0,0
04/01/2011,314,0,0,0,0
11/01/2011,315,0,0,0,0
18/01/2011,316,0,0,0,0
25/01/2011,317,0,0,0,0
01/02/2011,318,0,0,0,0
08/02/2011,319,0,0,0,0
15/02/2011,320,0,0,0,0
22/02/2011,321,0,0,0,0
01/03/2011,322,0,0,0,0
08/03/2011,323,0,0,0,0
15/03/2011,324,0,0,0,0
22/03/2011,325,0,0,0,0
29/03/2011,326,0,0,0,0
05/04/2011,327,0,0,0,0
12/04/2011,328,0,0,0,0
19/04/2011,329,0,0,0,0
26/04/2011,330,0,0,0,0
03/05/2011,331,0,0,0,0
10/05/2011,332,0,0,0,0
17/05/2011,333,0,0,0,0
24/05/2011,334,0,0,0,0
31/05/2011,335,0,0,0,0
07/06/2011,336,0,0,0,0
14/06/2011,337,0,0,0,0
21/06/2011,338,0,0,0,0
28/06/2011,339,0,0,0,0
05/07/2011,340,0,0,0,0
