ID,M04_R08_R37_R59_S03_V01,M04_R59_S03_V01,M05_R02_S01_V03,M05_R05_S01_V03,M06,M06_M06_R03_R04,M06_R03,M10_R10_S02_V02,M17_R04,ND,R04,R08,R10,R11,R15,R36,R59,R59_S03_V01
SC1620_ST61_p1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC1620_ST61_p2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC1622_ST50_p1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC1622_ST50_p2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC1667_ST2357_p1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC1667_ST2357_p2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC1667_ST2357_p3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC1689_ST1096,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SC1704_ST45,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC1706_ST2256_p1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC1706_ST2256_p2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC1707_ST2256_p1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC1707_ST2256_p2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SC1718_ST3230_p1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SC1718_ST3230_p2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
SC1718_ST3230_p3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
