"Date","week_num","A","B","C","D","E","F","G","H"
"19/03/2007",169,0,0,0,0,0,0,0,0
"26/03/2007",170,0,0,0,0,0,0,0,0
"02/04/2007",171,0,0,0,0,0,0,0,0
"09/04/2007",172,0,0,0,0,0,0,0,0
"16/04/2007",173,0,0,0,0,0,0,0,0
"23/04/2007",174,0,0,0,0,0,0,0,0
"30/04/2007",175,0,0,0,0,0,0,0,0
"07/05/2007",176,0,0,0,0,0,0,0,0
"14/05/2007",177,0,0,0,0,0,0,0,0
"21/05/2007",178,0,0,0,0,0,0,0,0
"28/05/2007",179,0,0,0,0,0,0,0,0
"04/06/2007",180,1,0,0,0,0,0,0,0
"11/06/2007",181,0,0,0,0,0,0,0,0
"18/06/2007",182,0,0,0,0,0,0,0,0
"25/06/2007",183,0,0,0,0,0,0,0,0
"02/07/2007",184,0,0,0,0,0,0,0,0
"09/07/2007",185,0,0,0,0,0,0,0,0
"16/07/2007",186,0,0,0,0,0,0,0,0
"23/07/2007",187,0,0,0,0,0,0,0,0
"30/07/2007",188,0,0,0,0,0,0,0,0
"06/08/2007",189,0,0,0,0,0,0,0,0
"13/08/2007",190,0,0,0,0,0,0,0,0
"20/08/2007",191,0,0,0,0,0,0,0,0
"27/08/2007",192,0,0,0,0,0,0,0,0
"03/09/2007",193,0,0,0,0,0,0,0,0
"10/09/2007",194,0,0,0,0,0,0,0,0
"17/09/2007",195,0,0,0,0,0,0,0,0
"24/09/2007",196,0,0,0,0,0,0,0,0
"01/10/2007",197,0,0,0,0,0,0,0,0
"08/10/2007",198,0,0,0,0,0,0,0,0
"15/10/2007",199,0,0,0,0,0,0,0,0
"22/10/2007",200,0,0,0,0,0,0,0,0
"29/10/2007",201,0,0,0,0,0,0,0,0
"05/11/2007",202,0,0,0,0,0,0,0,0
"12/11/2007",203,0,0,0,0,0,0,0,0
"19/11/2007",204,0,0,0,0,0,0,0,0
"26/11/2007",205,0,0,0,0,0,0,0,0
"03/12/2007",206,0,0,0,0,0,0,0,0
"10/12/2007",207,0,0,0,0,0,0,0,0
"17/12/2007",208,0,0,0,0,0,0,0,0
"24/12/2007",209,0,0,0,0,0,0,0,0
"31/12/2007",210,0,0,0,0,0,0,0,0
"07/01/2008",211,0,0,0,0,0,0,0,0
"14/01/2008",212,0,0,0,0,0,0,0,0
"21/01/2008",213,0,0,0,0,0,0,0,0
"28/01/2008",214,0,0,0,0,0,0,0,0
"04/02/2008",215,0,0,0,0,0,0,0,0
"11/02/2008",216,0,0,0,0,0,0,0,0
"18/02/2008",217,0,0,0,0,0,0,0,0
"25/02/2008",218,0,0,0,0,0,0,0,0
"03/03/2008",219,0,0,0,0,0,0,0,0
