time,date,datetime,milliseconds,mean,median,upper,lower
2000.417489,30/05/2000,2000-05-30T20:12:24,9.59718E+11,25.3834755,24.69874632,37.90642152,16.65049801
1999.939989,8/12/1999,1999-12-08T13:18:17,9.44659E+11,25.3834755,24.69874632,37.90642152,16.65049801
1999.462489,17/06/1999,1999-06-17T06:24:09,9.29601E+11,25.3834755,24.69874632,37.90642152,16.65049801
1998.984989,24/12/1998,1998-12-24T23:30:02,9.14542E+11,25.3834755,24.69874632,37.90642152,16.65049801
1998.507488,3/07/1998,1998-07-03T16:35:55,8.99484E+11,25.3834755,24.69874632,37.90642152,16.65049801
1998.029988,10/01/1998,1998-01-10T09:41:48,8.84425E+11,25.3834755,24.69874632,37.90642152,16.65049801
1997.552488,20/07/1997,1997-07-20T02:47:41,8.69367E+11,25.3834755,24.69874632,37.90642152,16.65049801
1997.074988,26/01/1997,1997-01-26T19:53:34,8.54308E+11,25.3834755,24.69874632,37.90642152,16.65049801
1996.597488,4/08/1996,1996-08-04T12:59:26,8.39164E+11,25.3834755,24.69874632,37.90642152,16.65049801
1996.119987,12/02/1996,1996-02-12T06:05:19,8.24105E+11,25.3834755,24.69874632,37.90642152,16.65049801
1995.642487,21/08/1995,1995-08-21T23:11:12,8.09047E+11,25.3834755,24.69874632,37.90642152,16.65049801
1995.164987,28/02/1995,1995-02-28T16:17:05,7.93988E+11,25.3834755,24.69874632,37.90642152,16.65049801
1994.687487,7/09/1994,1994-09-07T09:22:58,7.7893E+11,25.3834755,24.69874632,37.90642152,16.65049801
1994.209986,17/03/1994,1994-03-17T02:28:51,7.63871E+11,25.3834755,24.69874632,37.90642152,16.65049801
1993.732486,23/09/1993,1993-09-23T19:34:43,7.48813E+11,25.3834755,24.69874632,37.90642152,16.65049801
1993.254986,2/04/1993,1993-04-02T12:40:36,7.33754E+11,25.3834755,24.69874632,37.90642152,16.65049801
1992.777486,9/10/1992,1992-10-09T05:46:29,7.1861E+11,25.3834755,24.69874632,37.90642152,16.65049801
1992.299985,17/04/1992,1992-04-17T22:52:22,7.03551E+11,25.3834755,24.69874632,37.90642152,16.65049801
1991.822485,26/10/1991,1991-10-26T15:58:15,6.88493E+11,25.3834755,24.69874632,37.90642152,16.65049801
1991.344985,5/05/1991,1991-05-05T09:04:08,6.73434E+11,25.3834755,24.69874632,37.90642152,16.65049801
1990.867485,12/11/1990,1990-11-12T02:10:00,6.58376E+11,25.3834755,24.69874632,37.90642152,16.65049801
1990.389985,21/05/1990,1990-05-21T19:15:53,6.43317E+11,25.3834755,24.69874632,37.90642152,16.65049801
1989.912484,28/11/1989,1989-11-28T12:21:46,6.28259E+11,25.3834755,24.69874632,37.90642152,16.65049801
1989.434984,7/06/1989,1989-06-07T05:27:39,6.132E+11,25.3834755,24.69874632,37.90642152,16.65049801
1988.957484,13/12/1988,1988-12-13T22:33:32,5.98056E+11,25.3834755,24.69874632,37.90642152,16.65049801
1988.479984,22/06/1988,1988-06-22T15:39:25,5.82997E+11,25.3834755,24.69874632,37.90642152,16.65049801
1988.002483,31/12/1987,1987-12-31T08:45:17,5.67939E+11,25.3834755,24.69874632,37.90642152,16.65049801
1987.524983,10/07/1987,1987-07-10T01:51:10,5.5288E+11,25.3834755,24.69874632,37.90642152,16.65049801
1987.047483,16/01/1987,1987-01-16T18:57:03,5.37822E+11,25.3834755,24.69874632,37.90642152,16.65049801
1986.569983,26/07/1986,1986-07-26T12:02:56,5.22763E+11,25.3834755,24.69874632,37.90642152,16.65049801
1986.092483,2/02/1986,1986-02-02T05:08:49,5.07705E+11,25.3834755,24.69874632,37.90642152,16.65049801
1985.614982,11/08/1985,1985-08-11T22:14:42,4.92646E+11,25.3834755,24.69874632,37.90642152,16.65049801
1985.137482,18/02/1985,1985-02-18T15:20:35,4.77588E+11,25.3834755,24.69874632,37.90642152,16.65049801
1984.659982,27/08/1984,1984-08-27T08:26:27,4.62443E+11,25.3834755,24.69874632,37.90642152,16.65049801
1984.182482,6/03/1984,1984-03-06T01:32:20,4.47385E+11,25.3834755,24.69874632,37.90642152,16.65049801
1983.704981,13/09/1983,1983-09-13T18:38:13,4.32326E+11,25.3834755,24.69874632,37.90642152,16.65049801
1983.227481,23/03/1983,1983-03-23T11:44:06,4.17268E+11,25.3834755,24.69874632,37.90642152,16.65049801
1982.749981,30/09/1982,1982-09-30T04:49:59,4.02209E+11,25.3834755,24.69874632,37.90642152,16.65049801
1982.272481,8/04/1982,1982-04-08T21:55:52,3.87151E+11,25.38355147,24.69874632,37.90642152,16.65049801
1981.79498,16/10/1981,1981-10-16T15:01:44,3.72093E+11,25.38355147,24.69874632,37.90642152,16.65049801
1981.31748,25/04/1981,1981-04-25T08:07:37,3.57034E+11,25.38356614,24.6988029,37.90642152,16.65049801
1980.83998,1/11/1980,1980-11-01T01:13:30,3.41889E+11,25.38362255,24.6988029,37.90642152,16.65049801
1980.36248,10/05/1980,1980-05-10T18:19:23,3.26831E+11,25.3839848,24.69896152,37.90642152,16.65132738
1979.88498,18/11/1979,1979-11-18T11:25:16,3.11772E+11,25.38438365,24.6992026,37.90642152,16.65132738
1979.407479,28/05/1979,1979-05-28T04:31:09,2.96714E+11,25.38575982,24.7010825,37.90766202,16.65193528
1978.929979,4/12/1978,1978-12-04T21:37:01,2.81655E+11,25.38723752,24.70262285,37.90994758,16.65332103
1978.452479,13/06/1978,1978-06-13T14:42:54,2.66597E+11,25.38962855,24.70409056,37.91138138,16.65701424
1977.974979,21/12/1977,1977-12-21T07:48:47,2.51539E+11,25.39331556,24.70835259,37.91308396,16.66145349
1977.497478,30/06/1977,1977-06-30T00:54:40,2.3648E+11,25.39929499,24.71547077,37.91663452,16.66435213
1977.019978,6/01/1977,1977-01-06T18:00:33,2.21422E+11,25.40664646,24.72107736,37.9213408,16.67109322
1976.542478,15/07/1976,1976-07-15T11:06:26,2.06277E+11,25.41549492,24.73025277,37.92941482,16.68353035
1976.064978,23/01/1976,1976-01-23T04:12:18,1.91218E+11,25.427976,24.74451115,37.94574979,16.68992736
1975.587478,1/08/1975,1975-08-01T21:18:11,1.7616E+11,NaN,NaN,NaN,NaN
