Isolate	cluster_A	cluster_B
SBV235_plate05|2019.42739726027	C	H
SBV236_plate03|2019.61369863014	C	H
SBV237_plate03|2019.61917808219	B	E
SBV238_plate03|2019.84383561644	C	H
SBV239_plate03|2019.15068493151	C	H
SBV240_plate05|2019.69863013699	C	H
SBV241_plate03|2019.72328767123	B	E
SBV242_plate03|2019.74794520548	C	H
SBV243_plate03|2019.78356164384	C	H
SBV244_plate03|2019.82739726027	C	H
SBV245_plate03|2019.84657534247	B	F
SBV246_plate03|2019.42739726027	B	E
SBV247_plate03|2019.99452054795	C	H
SBV249_plate03|2020.07650273224	B	G
SBV251_plate03|2020.15027322404	C	H
SBV252_plate03|2020.17759562842	B	F
SBV253_plate03|2020.31420765027	C	H
SBV254_plate03|2020.42896174863	A	C
SBV255_plate03|2020.43442622951	C	H
SBV256_plate03|2020.59836065574	C	H
SBV257_plate05|2019.42739726027	C	H
SBV258_plate03|2020.75136612022	C	H
SBV259_plate03|2020.76229508197	C	H
SBV260_plate03|2020.74316939891	C	H
SBV261_plate03|2020.85245901639	C	H
SBV262_plate03|2019.98630136986	B	G
SBV263_plate03|2020.2131147541	B	F
SBV265_plate03|2020.30601092896	C	H
SBV266_plate03|2020.10928961749	C	H
SBV267_plate03|2020.00546448087	C	H
SBV268_plate03|2020.26229508197	C	H
SBV269_plate05|2020.34426229508	B	D
SBV270_plate04|2020.37431693989	B	F
SBV271_plate04|2020.21857923497	B	E
SBV272_plate04|2020.03825136612	C	H
SBV273_plate04|2020.06557377049	B	F
SBV274_plate04|2020.12295081967	B	F
SBV275_plate04|2020.15846994536	B	F
SBV276_plate04|2020.46448087432	B	F
SBV277_plate04|2020.45628415301	B	D
SBV278_plate04|2020.53005464481	C	H
SBV279_plate04|2020.55191256831	C	H
SBV280_plate05|2019.69863013699	C	H
SBV281_plate04|2020.63661202186	C	H
SBV282_plate04|2020.67213114754	C	H
SBV283_plate04|2020.70491803279	C	H
SBV284_plate04|2020.72404371585	B	F
SBV285_plate04|2020.72950819672	C	H
SBV286_plate04|2020.7650273224	B	G
SBV287_plate04|2020.78961748634	C	H
SBV288_plate04|2020.82240437158	C	H
SBV289_plate04|2020.84153005464	B	G
SBV290_plate04|2020.83879781421	B	G
SBV291_plate04|2020.87704918033	C	H
SBV292_plate04|2020.95355191257	B	F
SBV293_plate04|2020.97540983607	C	H
SBV294_plate04|2020.97267759563	C	H
SBV295_plate04|2021.01369863014	B	F
SBV296_plate04|2021.02739726027	C	H
SBV297_plate04|2020.99453551913	C	H
SBV298_plate04|2021.12328767123	C	H
SBV299_plate04|2021.44383561644	C	H
SBV300_plate04|2021.00547945205	C	H
SBV301_plate04|2021.19726027397	B	G
SBV302_plate04|2021.30684931507	C	H
SBV305_plate04|2021.46849315068	B	D
SBV306_plate04|2021.95616438356	B	G
SBV307_plate04|2021.0301369863	B	G
SBV308_plate04|2021.13424657534	C	H
SBV310_plate04|2021.31780821918	B	G
SBV311_plate04|2021.33424657534	B	D
SBV312_plate04|2021.37808219178	B	G
SBV313_plate04|2021.44657534247	A	C
SBV314_plate04|2021.44931506849	B	E
SBV315_plate04|2021.47397260274	C	H
SBV316_plate04|2021.48767123288	B	F
SBV317_plate04|2021.49589041096	C	H
SBV318_plate04|2021.4904109589	B	E
SBV319_plate04|2021.46849315068	B	F
SBV320_plate04|2021.42739726027	B	E
SBV321_plate04|2021.52602739726	C	H
SBV322_plate04|2021.54794520548	C	H
SBV323_plate04|2021.60273972603	C	H
SBV324_plate04|2021.62191780822	C	H
SBV325_plate04|2021.6602739726	B	E
SBV326_plate04|2021.67397260274	C	H
SBV327_plate04|2021.7095890411	B	E
SBV328_plate04|2021.42739726027	B	E
SBV329_plate04|2021.74520547945	C	H
SBV330_plate04|2021.74794520548	B	E
SBV331_plate04|2021.77260273973	B	G
SBV332_plate04|2021.81643835616	C	H
SBV333_plate04|2021.87123287671	B	E
SBV334_plate04|2021.8904109589	B	G
SBV335_plate04|2021.93424657534	B	E
SBV336_plate04|2021.96712328767	B	E
SBV337_plate04|2015.6	C	H
SBV338_plate04|2021.97808219178	B	G
SBV339_plate04|2021.96164383562	B	F
SBV340_plate04|2021.98356164384	B	F
SBV341_plate04|2022.06301369863	B	G
SBV343_plate04|2022.12328767123	B	G
SBV344_plate04|2022.11232876712	C	H
SBV345_plate04|2022.42739726027	C	H
SBV347_plate04|2022.13698630137	C	H
SBV348_plate04|2022.20273972603	C	H
SBV349_plate04|2022.23561643836	B	E
SBV350_plate04|2022.24657534247	B	D
SBV351_plate04|2022.2602739726	B	F
SBV352_plate04|2022.25753424658	B	G
SBV353_plate04|2022.27671232877	C	H
SBV354_plate04|2022.29589041096	B	E
SBV355_plate04|2022.29589041096	C	H
SBV356_plate04|2022.35616438356	C	H
SBV357_plate04|2022.36164383562	C	H
SBV358_plate04|2022.37260273973	C	H
SBV359_plate04|2022.41369863014	C	H
SBV361_plate04|2022.44657534247	C	H
SBV362_plate04|2022.54520547945	C	H
SBV363_plate04|2022.55068493151	B	G
SBV364_plate04|2022.53150684932	B	G
SBV365_plate04|2022.60547945205	C	H
SBV366_plate04|2022.64931506849	C	H
SBV367_plate04|2022.67397260274	C	H
SBV368_plate04|2022.68767123288	B	G
SBV369_plate04|2022.69863013699	C	H
SBV370_plate05|2022.72602739726	B	G
SBV371_plate05|2022.74794520548	B	G
SBV372_plate05|2022.75890410959	C	H
SBV373_plate05|2022.79178082192	B	E
SBV374_plate05|2022.82191780822	B	G
SBV375_plate05|2022.83561643836	C	H
SBV376_plate05|2022.42739726027	B	G
