Isolate,Isolate,level 1,level 2,Isolate,cluster_A,cluster_B,,,,,,,,Isolate
SBV068_plate01|2015.80547945205,SBV068,2,4,SBV068_plate01|2015.80547945205,B,D,,,,,,,,SBV068
SBV069_plate01|2015.87945205479,SBV069,3,8,SBV069_plate01|2015.87945205479,C,H,,,,,,,,SBV069
SBV070_plate01|2015.91780821918,SBV070,2,4,SBV070_plate01|2015.91780821918,B,D,,,,,,,,SBV070
SBV071_plate01|2015.95616438356,SBV071,3,8,SBV071_plate01|2015.95616438356,C,H,,,,,,,,SBV071
SBV072_plate02|2016.02732240437,SBV072,2,5,SBV072_plate02|2016.02732240437,B,E,,,,,,,,SBV072
SBV073_plate03|2016.06557377049,SBV073,2,4,SBV073_plate03|2016.06557377049,B,D,,,,,,,,SBV073
SBV074_plate03|2016.08469945355,SBV074,2,4,SBV074_plate03|2016.08469945355,B,D,,,,,,,,SBV074
SBV075_plate02|2016.19398907104,SBV075,3,8,SBV075_plate02|2016.19398907104,C,H,,,,,,,,SBV075
SBV076_plate02|2016.71584699454,SBV076,3,8,SBV076_plate02|2016.71584699454,C,H,,,,,,,,SBV076
SBV077_plate02|2016.31967213115,SBV077,3,8,SBV077_plate02|2016.31967213115,C,H,,,,,,,,SBV077
SBV078_plate02|2016.42349726776,SBV078,2,4,SBV078_plate02|2016.42349726776,B,D,,,,,,,,SBV078
SBV079_plate02|2016.45628415301,SBV079,3,8,SBV079_plate02|2016.45628415301,C,H,,,,,,,,SBV079
SBV080_plate02|2016.42896174863,SBV080,2,4,SBV080_plate02|2016.42896174863,B,D,,,,,,,,SBV080
SBV081_plate02|2016.62568306011,SBV081,3,8,SBV081_plate02|2016.62568306011,C,H,,,,,,,,SBV081
SBV082_plate02|2016.74590163934,SBV082,3,8,SBV082_plate02|2016.74590163934,C,H,,,,,,,,SBV082
SBV083_plate02|2016.77595628415,SBV083,3,8,SBV083_plate02|2016.77595628415,C,H,,,,,,,,SBV083
SBV084_plate02|2016.03825136612,SBV084,3,8,SBV084_plate02|2016.03825136612,C,H,,,,,,,,SBV084
SBV085_plate03|2016.03551912568,SBV085,3,8,SBV085_plate03|2016.03551912568,C,H,,,,,,,,SBV085
SBV087_plate02|2016.12295081967,SBV087,3,8,SBV087_plate02|2016.12295081967,C,H,,,,,,,,SBV087
SBV088_plate02|2016.25956284153,SBV088,2,4,SBV088_plate02|2016.25956284153,B,D,,,,,,,,SBV088
SBV089_plate02|2016.28415300546,SBV089,3,8,SBV089_plate02|2016.28415300546,C,H,,,,,,,,SBV089
SBV090_plate02|2016.30601092896,SBV090,2,5,SBV090_plate02|2016.30601092896,B,E,,,,,,,,SBV090
SBV091_plate02|2016.34153005464,SBV091,2,4,SBV091_plate02|2016.34153005464,B,D,,,,,,,,SBV091
SBV092_plate02|2016.33879781421,SBV092,2,5,SBV092_plate02|2016.33879781421,B,E,,,,,,,,SBV092
SBV093_plate02|2016.42896174863,SBV093,2,4,SBV093_plate02|2016.42896174863,B,D,,,,,,,,SBV093
