Isolate,Isolate,level 1,level 2,Isolate,cluster_A,cluster_B,,,,,,,,Isolate
SBV261_plate03|2020.85245901639,SBV261,3,8,SBV261_plate03|2020.85245901639,C,H,,,,,,,,SBV261
SBV262_plate03|2019.98630136986,SBV262,2,7,SBV262_plate03|2019.98630136986,B,G,,,,,,,,SBV262
SBV263_plate03|2020.2131147541,SBV263,2,6,SBV263_plate03|2020.2131147541,B,F,,,,,,,,SBV263
SBV265_plate03|2020.30601092896,SBV265,3,8,SBV265_plate03|2020.30601092896,C,H,,,,,,,,SBV265
SBV266_plate03|2020.10928961749,SBV266,3,8,SBV266_plate03|2020.10928961749,C,H,,,,,,,,SBV266
SBV267_plate03|2020.00546448087,SBV267,3,8,SBV267_plate03|2020.00546448087,C,H,,,,,,,,SBV267
SBV268_plate03|2020.26229508197,SBV268,3,8,SBV268_plate03|2020.26229508197,C,H,,,,,,,,SBV268
SBV269_plate05|2020.34426229508,SBV269,2,4,SBV269_plate05|2020.34426229508,B,D,,,,,,,,SBV269
SBV270_plate04|2020.37431693989,SBV270,2,6,SBV270_plate04|2020.37431693989,B,F,,,,,,,,SBV270
SBV271_plate04|2020.21857923497,SBV271,2,5,SBV271_plate04|2020.21857923497,B,E,,,,,,,,SBV271
SBV272_plate04|2020.03825136612,SBV272,3,8,SBV272_plate04|2020.03825136612,C,H,,,,,,,,SBV272
SBV273_plate04|2020.06557377049,SBV273,2,6,SBV273_plate04|2020.06557377049,B,F,,,,,,,,SBV273
SBV274_plate04|2020.12295081967,SBV274,2,6,SBV274_plate04|2020.12295081967,B,F,,,,,,,,SBV274
SBV275_plate04|2020.15846994536,SBV275,2,6,SBV275_plate04|2020.15846994536,B,F,,,,,,,,SBV275
SBV276_plate04|2020.46448087432,SBV276,2,6,SBV276_plate04|2020.46448087432,B,F,,,,,,,,SBV276
SBV277_plate04|2020.45628415301,SBV277,2,4,SBV277_plate04|2020.45628415301,B,D,,,,,,,,SBV277
SBV278_plate04|2020.53005464481,SBV278,3,8,SBV278_plate04|2020.53005464481,C,H,,,,,,,,SBV278
SBV279_plate04|2020.55191256831,SBV279,3,8,SBV279_plate04|2020.55191256831,C,H,,,,,,,,SBV279
SBV280_plate05|2019.69863013699,SBV280,3,8,SBV280_plate05|2019.69863013699,C,H,,,,,,,,SBV280
SBV281_plate04|2020.63661202186,SBV281,3,8,SBV281_plate04|2020.63661202186,C,H,,,,,,,,SBV281
SBV282_plate04|2020.67213114754,SBV282,3,8,SBV282_plate04|2020.67213114754,C,H,,,,,,,,SBV282
SBV283_plate04|2020.70491803279,SBV283,3,8,SBV283_plate04|2020.70491803279,C,H,,,,,,,,SBV283
SBV284_plate04|2020.72404371585,SBV284,2,6,SBV284_plate04|2020.72404371585,B,F,,,,,,,,SBV284
SBV285_plate04|2020.72950819672,SBV285,3,8,SBV285_plate04|2020.72950819672,C,H,,,,,,,,SBV285
SBV286_plate04|2020.7650273224,SBV286,2,7,SBV286_plate04|2020.7650273224,B,G,,,,,,,,SBV286
SBV287_plate04|2020.78961748634,SBV287,3,8,SBV287_plate04|2020.78961748634,C,H,,,,,,,,SBV287
SBV288_plate04|2020.82240437158,SBV288,3,8,SBV288_plate04|2020.82240437158,C,H,,,,,,,,SBV288
SBV289_plate04|2020.84153005464,SBV289,2,7,SBV289_plate04|2020.84153005464,B,G,,,,,,,,SBV289
SBV290_plate04|2020.83879781421,SBV290,2,7,SBV290_plate04|2020.83879781421,B,G,,,,,,,,SBV290
SBV291_plate04|2020.87704918033,SBV291,3,8,SBV291_plate04|2020.87704918033,C,H,,,,,,,,SBV291
SBV292_plate04|2020.95355191257,SBV292,2,6,SBV292_plate04|2020.95355191257,B,F,,,,,,,,SBV292
SBV293_plate04|2020.97540983607,SBV293,3,8,SBV293_plate04|2020.97540983607,C,H,,,,,,,,SBV293
SBV294_plate04|2020.97267759563,SBV294,3,8,SBV294_plate04|2020.97267759563,C,H,,,,,,,,SBV294
SBV295_plate04|2021.01369863014,SBV295,2,6,SBV295_plate04|2021.01369863014,B,F,,,,,,,,SBV295
SBV296_plate04|2021.02739726027,SBV296,3,8,SBV296_plate04|2021.02739726027,C,H,,,,,,,,SBV296
SBV297_plate04|2020.99453551913,SBV297,3,8,SBV297_plate04|2020.99453551913,C,H,,,,,,,,SBV297
SBV298_plate04|2021.12328767123,SBV298,3,8,SBV298_plate04|2021.12328767123,C,H,,,,,,,,SBV298
SBV299_plate04|2021.44383561644,SBV299,3,8,SBV299_plate04|2021.44383561644,C,H,,,,,,,,SBV299
SBV300_plate04|2021.00547945205,SBV300,3,8,SBV300_plate04|2021.00547945205,C,H,,,,,,,,SBV300
SBV301_plate04|2021.19726027397,SBV301,2,7,SBV301_plate04|2021.19726027397,B,G,,,,,,,,SBV301
SBV302_plate04|2021.30684931507,SBV302,3,8,SBV302_plate04|2021.30684931507,C,H,,,,,,,,SBV302
SBV305_plate04|2021.46849315068,SBV305,2,4,SBV305_plate04|2021.46849315068,B,D,,,,,,,,SBV305
SBV306_plate04|2021.95616438356,SBV306,2,7,SBV306_plate04|2021.95616438356,B,G,,,,,,,,SBV306
SBV307_plate04|2021.0301369863,SBV307,2,7,SBV307_plate04|2021.0301369863,B,G,,,,,,,,SBV307
SBV308_plate04|2021.13424657534,SBV308,3,8,SBV308_plate04|2021.13424657534,C,H,,,,,,,,SBV308
SBV310_plate04|2021.31780821918,SBV310,2,7,SBV310_plate04|2021.31780821918,B,G,,,,,,,,SBV310
SBV311_plate04|2021.33424657534,SBV311,2,4,SBV311_plate04|2021.33424657534,B,D,,,,,,,,SBV311
SBV312_plate04|2021.37808219178,SBV312,2,7,SBV312_plate04|2021.37808219178,B,G,,,,,,,,SBV312
SBV313_plate04|2021.44657534247,SBV313,1,3,SBV313_plate04|2021.44657534247,A,C,,,,,,,,SBV313
SBV314_plate04|2021.44931506849,SBV314,2,5,SBV314_plate04|2021.44931506849,B,E,,,,,,,,SBV314
SBV315_plate04|2021.47397260274,SBV315,3,8,SBV315_plate04|2021.47397260274,C,H,,,,,,,,SBV315
SBV316_plate04|2021.48767123288,SBV316,2,6,SBV316_plate04|2021.48767123288,B,F,,,,,,,,SBV316
SBV317_plate04|2021.49589041096,SBV317,3,8,SBV317_plate04|2021.49589041096,C,H,,,,,,,,SBV317
SBV318_plate04|2021.4904109589,SBV318,2,5,SBV318_plate04|2021.4904109589,B,E,,,,,,,,SBV318
SBV319_plate04|2021.46849315068,SBV319,2,6,SBV319_plate04|2021.46849315068,B,F,,,,,,,,SBV319
SBV320_plate04|2021.42739726027,SBV320,2,5,SBV320_plate04|2021.42739726027,B,E,,,,,,,,SBV320
SBV321_plate04|2021.52602739726,SBV321,3,8,SBV321_plate04|2021.52602739726,C,H,,,,,,,,SBV321
SBV322_plate04|2021.54794520548,SBV322,3,8,SBV322_plate04|2021.54794520548,C,H,,,,,,,,SBV322
SBV323_plate04|2021.60273972603,SBV323,3,8,SBV323_plate04|2021.60273972603,C,H,,,,,,,,SBV323
SBV324_plate04|2021.62191780822,SBV324,3,8,SBV324_plate04|2021.62191780822,C,H,,,,,,,,SBV324
SBV325_plate04|2021.6602739726,SBV325,2,5,SBV325_plate04|2021.6602739726,B,E,,,,,,,,SBV325
SBV326_plate04|2021.67397260274,SBV326,3,8,SBV326_plate04|2021.67397260274,C,H,,,,,,,,SBV326
SBV327_plate04|2021.7095890411,SBV327,2,5,SBV327_plate04|2021.7095890411,B,E,,,,,,,,SBV327
SBV328_plate04|2021.42739726027,SBV328,2,5,SBV328_plate04|2021.42739726027,B,E,,,,,,,,SBV328
SBV329_plate04|2021.74520547945,SBV329,3,8,SBV329_plate04|2021.74520547945,C,H,,,,,,,,SBV329
SBV330_plate04|2021.74794520548,SBV330,2,5,SBV330_plate04|2021.74794520548,B,E,,,,,,,,SBV330
SBV331_plate04|2021.77260273973,SBV331,2,7,SBV331_plate04|2021.77260273973,B,G,,,,,,,,SBV331
SBV332_plate04|2021.81643835616,SBV332,3,8,SBV332_plate04|2021.81643835616,C,H,,,,,,,,SBV332
SBV333_plate04|2021.87123287671,SBV333,2,5,SBV333_plate04|2021.87123287671,B,E,,,,,,,,SBV333
SBV334_plate04|2021.8904109589,SBV334,2,7,SBV334_plate04|2021.8904109589,B,G,,,,,,,,SBV334
SBV335_plate04|2021.93424657534,SBV335,2,5,SBV335_plate04|2021.93424657534,B,E,,,,,,,,SBV335
SBV336_plate04|2021.96712328767,SBV336,2,5,SBV336_plate04|2021.96712328767,B,E,,,,,,,,SBV336
SBV337_plate04|2015.6,SBV337,3,8,SBV337_plate04|2015.6,C,H,,,,,,,,SBV337
SBV338_plate04|2021.97808219178,SBV338,2,7,SBV338_plate04|2021.97808219178,B,G,,,,,,,,SBV338
SBV339_plate04|2021.96164383562,SBV339,2,6,SBV339_plate04|2021.96164383562,B,F,,,,,,,,SBV339
SBV340_plate04|2021.98356164384,SBV340,2,6,SBV340_plate04|2021.98356164384,B,F,,,,,,,,SBV340
SBV341_plate04|2022.06301369863,SBV341,2,7,SBV341_plate04|2022.06301369863,B,G,,,,,,,,SBV341
SBV343_plate04|2022.12328767123,SBV343,2,7,SBV343_plate04|2022.12328767123,B,G,,,,,,,,SBV343
SBV344_plate04|2022.11232876712,SBV344,3,8,SBV344_plate04|2022.11232876712,C,H,,,,,,,,SBV344
SBV345_plate04|2022.42739726027,SBV345,3,8,SBV345_plate04|2022.42739726027,C,H,,,,,,,,SBV345
SBV347_plate04|2022.13698630137,SBV347,3,8,SBV347_plate04|2022.13698630137,C,H,,,,,,,,SBV347
SBV348_plate04|2022.20273972603,SBV348,3,8,SBV348_plate04|2022.20273972603,C,H,,,,,,,,SBV348
SBV349_plate04|2022.23561643836,SBV349,2,5,SBV349_plate04|2022.23561643836,B,E,,,,,,,,SBV349
SBV350_plate04|2022.24657534247,SBV350,2,4,SBV350_plate04|2022.24657534247,B,D,,,,,,,,SBV350
SBV351_plate04|2022.2602739726,SBV351,2,6,SBV351_plate04|2022.2602739726,B,F,,,,,,,,SBV351
SBV352_plate04|2022.25753424658,SBV352,2,7,SBV352_plate04|2022.25753424658,B,G,,,,,,,,SBV352
SBV353_plate04|2022.27671232877,SBV353,3,8,SBV353_plate04|2022.27671232877,C,H,,,,,,,,SBV353
SBV354_plate04|2022.29589041096,SBV354,2,5,SBV354_plate04|2022.29589041096,B,E,,,,,,,,SBV354
SBV355_plate04|2022.29589041096,SBV355,3,8,SBV355_plate04|2022.29589041096,C,H,,,,,,,,SBV355
SBV356_plate04|2022.35616438356,SBV356,3,8,SBV356_plate04|2022.35616438356,C,H,,,,,,,,SBV356
SBV357_plate04|2022.36164383562,SBV357,3,8,SBV357_plate04|2022.36164383562,C,H,,,,,,,,SBV357
SBV358_plate04|2022.37260273973,SBV358,3,8,SBV358_plate04|2022.37260273973,C,H,,,,,,,,SBV358
SBV359_plate04|2022.41369863014,SBV359,3,8,SBV359_plate04|2022.41369863014,C,H,,,,,,,,SBV359
SBV361_plate04|2022.44657534247,SBV361,3,8,SBV361_plate04|2022.44657534247,C,H,,,,,,,,SBV361
SBV362_plate04|2022.54520547945,SBV362,3,8,SBV362_plate04|2022.54520547945,C,H,,,,,,,,SBV362
SBV363_plate04|2022.55068493151,SBV363,2,7,SBV363_plate04|2022.55068493151,B,G,,,,,,,,SBV363
SBV364_plate04|2022.53150684932,SBV364,2,7,SBV364_plate04|2022.53150684932,B,G,,,,,,,,SBV364
SBV365_plate04|2022.60547945205,SBV365,3,8,SBV365_plate04|2022.60547945205,C,H,,,,,,,,SBV365
SBV366_plate04|2022.64931506849,SBV366,3,8,SBV366_plate04|2022.64931506849,C,H,,,,,,,,SBV366
SBV367_plate04|2022.67397260274,SBV367,3,8,SBV367_plate04|2022.67397260274,C,H,,,,,,,,SBV367
SBV368_plate04|2022.68767123288,SBV368,2,7,SBV368_plate04|2022.68767123288,B,G,,,,,,,,SBV368
SBV369_plate04|2022.69863013699,SBV369,3,8,SBV369_plate04|2022.69863013699,C,H,,,,,,,,SBV369
SBV370_plate05|2022.72602739726,SBV370,2,7,SBV370_plate05|2022.72602739726,B,G,,,,,,,,SBV370
SBV371_plate05|2022.74794520548,SBV371,2,7,SBV371_plate05|2022.74794520548,B,G,,,,,,,,SBV371
SBV372_plate05|2022.75890410959,SBV372,3,8,SBV372_plate05|2022.75890410959,C,H,,,,,,,,SBV372
SBV373_plate05|2022.79178082192,SBV373,2,5,SBV373_plate05|2022.79178082192,B,E,,,,,,,,SBV373
SBV374_plate05|2022.82191780822,SBV374,2,7,SBV374_plate05|2022.82191780822,B,G,,,,,,,,SBV374
SBV375_plate05|2022.83561643836,SBV375,3,8,SBV375_plate05|2022.83561643836,C,H,,,,,,,,SBV375
SBV376_plate05|2022.42739726027,SBV376,2,7,SBV376_plate05|2022.42739726027,B,G,,,,,,,,SBV376
