ST,Length
ST508,12131
ST508,10723
ST508,14372
ST677,8234
ST677,3479
ST677,7069
ST677,8677
ST227,27518
ST520,29935
ST520,27548
ST61,28019
ST520,29905
ST42,26561
ST42,20139
ST42,2652
ST42,26501
ST14186,22678
ST14186,20532
ST14186,10040
ST14186,9848
ST2535,12800
ST2535,1898
ST2535,9355
ST48,28112
ST48,10656
ST53,2439
ST53,11092
ST53,16097
ST6964,41371
ST6964,39139
ST48,10623
ST48,30524
ST422,27722
ST12755,2995
ST61,23488
ST61,13523
ST61,28059
ST8658,45535
ST48,19933
ST48,8085
ST48,38066
ST48,2968
ST190,28955
ST474,27363
ST474,14249
ST474,28053
ST48,3339
ST48,42248
ST45,14041
ST45,11168
ST45,15082
ST61,9359
ST61,1912
ST61,14609
ST61,3185
ST61,4208
ST61,18043
ST42,19033
ST42,7132
ST42,881
ST42,26506
ST42,26510
ST48,41541
ST48,38638
ST21,27542
ST53,40513
ST42,26572
ST53,23463
ST42,26430
ST4492,30077
ST51,4545
ST51,24744
ST42,2017
ST42,22842
ST42,26510
ST61,4061
ST61,26775
ST61,3737
ST61,10420
ST61,14510
ST53,28053
ST53,37369
ST53,28059
ST53,37322
ST53,28071
ST45,1577
ST45,5292
ST45,14660
ST45,3223
ST45,1469
ST45,1690
ST190,3031
ST190,42515
ST6964,13415
ST6964,8623
ST6964,12142
ST53,27116
ST45,1672
ST677,1599
ST4337,15024
ST4337,13833
ST4337,27899
ST4337,11168
ST51,40887
ST48,5954
ST48,5634
ST48,30783
ST474,27554
ST48,11641
ST48,30925
ST48,41709
ST5647,5381
ST38,27726
ST48,45668
ST48,2686
ST48,8526
ST48,15480
ST53,10568
ST53,12902
ST53,15089
ST53,37784
ST53,28966
ST257,27552
ST48,45668
ST48,45668
ST48,12633
ST48,30791
ST48,28435
ST48,7446
ST48,3165
ST48,13922
ST48,16864
ST48,12175
ST53,38315
ST53,3186
ST53,12703
ST53,13463
ST53,7466
ST53,28043
ST45,8623
ST45,13427
ST45,9966
ST53,37256
ST4337,20887
ST4337,8400
ST4337,9845
ST4337,23305
ST2026,6810
ST50,27106
ST45,5073
ST45,9352
ST45,6733
ST45,8903
ST2392,34223
ST422,4426
ST422,21628
ST422,1501
ST486,18843
ST486,3061
ST486,27543
ST486,4354
ST190,45668
ST53,37498
ST21,29949
ST12755,4093
ST53,33945
ST53,14059
ST53,15089
ST53,11168
ST51,35722
ST51,4588
ST53,11646
ST53,2438
ST53,19294
ST2392,27311
ST42,26566
ST61,21138
ST61,9061
ST61,10648
ST61,13477
ST61,13230
ST50,28057
ST53,30801
ST53,12633
ST422,13855
ST422,15096
ST422,11168
ST422,30082
ST38,30071
ST45,11168
ST45,14049
ST45,15252
ST618,28049
ST53,21976
ST53,11832
ST3351,21945
ST3351,11726
ST53,26046
ST53,11972
ST38,28055
ST677,30842
ST53,37266
ST48,45646
ST1919,2415
ST53,41035
ST51,11764
ST51,24214
ST6964,10623
ST6964,30801
ST257,27546
ST257,27548
ST50,28047
ST422,12721
ST422,12633
ST422,13415
ST422,27722
ST4337,27536
ST4337,9851
ST4337,23606
ST53,28936
ST53,28981
ST53,11168
ST42,28972
ST42,28972
ST42,28970
ST38,27728
ST1517,27547
ST3676,26261
ST61,27560
ST474,7701
ST474,26184
ST42,26512
ST42,26568
ST42,26568
ST50,7658
ST50,26791
ST61,48909
ST61,9865
ST50,7576
ST50,7657
ST50,19064
ST50,19113
ST50,3042
ST50,32268
ST2026,29298
ST42,26576
ST48,30801
ST48,12633
ST6964,41683
ST474,8068
ST474,28031
ST474,13867
ST474,15097
ST2357,13053
ST2357,19120
ST2357,10499
ST2357,27303
ST2357,12021
ST2357,1317
ST2357,10644
ST42,26568
ST42,26566
ST45,39740
ST42,26546
ST48,10746
ST48,30783
ST6964,19259
ST6964,2398
ST6964,20124
ST422,11315
ST422,10307
ST422,9015
ST422,30035
ST422,27977
ST45,20202
ST45,19773
ST6964,2858
ST6964,6854
ST6964,19221
ST53,13196
ST53,25409
ST53,28040
ST45,34552
ST6964,25929
ST6964,19303
ST6964,25033
ST6964,19258
ST48,42361
ST48,3264
